scrap_date,scrap_time,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot_Cases_1M_pop,Deaths/1M pop,TotalTests,Tests_1M_pop,Continent_id
2020-08-16,20:00,60,Azerbaijan,10150488,34107,,506,,31697,,1904,,3360,50,826043,81380,3.0
2020-08-16,20:00,57,Venezuela,28425527,32607,,276,,21747,,10584,85,1147,10,1640528,57713,2.0
2020-08-16,20:00,62,Moldova,4032753,29905,,895,,20908,,8102,362,7416,222,128076,31759,4.0
2020-08-16,20:00,63,Kenya,53910353,29849,,472,,15970,,13407,44,554,9,387670,7191,5.0
2020-08-16,20:00,65,Serbia,8732803,29471,,670,,26440,,2361,75,3375,77,798009,91381,4.0
2020-08-16,20:00,56,Ethiopia,115293972,28894,,509,,12037,,16348,195,251,4,589694,5115,5.0
2020-08-16,20:00,61,Costa Rica,5099873,27737,,291,,9010,,18436,104,5439,57,117914,23121,1.0
2020-08-16,20:00,66,Ireland,4944556,27191,,1774,,23364,,2053,8,5499,359,709689,143529,4.0
2020-08-16,20:00,64,Nepal,29199389,26660,641,104,2.0,17335,134,9221,,913,4,830309,28436,3.0
2020-08-16,20:00,67,Austria,9012838,23370,191,728,,20681,54,1961,19,2593,81,1018490,113004,4.0
2020-08-16,20:00,68,Australia,25536137,23287,252,396,17.0,13634,,9257,47,912,16,5292922,207272,
2020-08-16,20:00,69,El Salvador,6490317,22619,,612,9.0,10647,29,11360,443,3485,94,275993,42524,1.0
2020-08-16,20:00,70,Czechia,10711506,19891,,395,,13763,,5733,24,1857,37,791082,73853,4.0
2020-08-16,20:00,72,Cameroon,26622486,18469,,401,,16540,,1528,30,694,15,149000,5597,5.0
2020-08-16,20:00,75,Ivory Coast,26454060,16993,,108,,13759,,3126,,642,4,112931,4269,5.0
2020-08-16,20:00,71,Palestine,5115264,16534,381,110,2.0,9838,450,6586,,3232,22,214862,42004,3.0
2020-08-16,20:00,73,Bosnia and Herzegovina,3278151,15801,,471,,9619,,5711,,4820,144,161008,49115,4.0
2020-08-16,20:00,76,Denmark,5794779,15483,,621,,13275,,1587,1,2672,107,1903899,328554,4.0
2020-08-16,20:00,74,S. Korea,51274814,15318,279,305,,13910,9,1103,13,299,6,1681787,32799,3.0
2020-08-16,20:00,77,Bulgaria,6941575,14333,,495,,9161,,4677,55,2065,71,333530,48048,4.0
2020-08-16,20:00,78,Madagascar,27773270,13827,103,170,4.0,12424,192,1233,93,498,6,52321,1884,5.0
2020-08-16,20:00,79,North Macedonia,2083363,12653,,539,,9123,,2991,4,6073,259,125128,60061,4.0
2020-08-16,20:00,82,Sudan,43968778,12314,103,798,2.0,6350,10,5166,,280,18,401,9,5.0
2020-08-16,20:00,81,Senegal,16794764,12032,,251,,7637,,4144,57,716,15,129392,7704,5.0
2020-08-16,20:00,86,Norway,5426512,9965,,261,,8857,,847,2,1836,48,530446,97751,4.0
2020-08-16,20:00,87,DRC,89869440,9676,38,240,1.0,8705,108,731,,108,3,,,5.0
2020-08-16,20:00,80,Paraguay,7143245,9381,,127,,5841,,3413,40,1313,18,151427,21199,2.0
2020-08-16,20:00,88,Malaysia,32416569,9200,25,125,,8859,28,216,7,284,4,1114246,34373,3.0
2020-08-16,20:00,84,Zambia,18442838,9186,,260,,8065,,861,,498,14,98766,5355,5.0
2020-08-16,20:00,90,French Guiana,299576,8588,,53,,7893,,642,15,28667,177,46077,153807,2.0
2020-08-16,20:00,83,Lebanon,6821472,8442,,97,,2650,,5695,52,1238,14,408909,59944,3.0
2020-08-16,20:00,89,Guinea,13173696,8343,,50,,7210,,1083,24,633,4,14407,1094,5.0
2020-08-16,20:00,91,Gabon,2231858,8225,,51,,6277,,1897,1,3685,23,100298,44939,5.0
2020-08-16,20:00,93,Tajikistan,9562749,8029,,64,,6815,,1150,,840,7,,,3.0
2020-08-16,20:00,95,Haiti,11419521,7831,,196,,5235,,2400,,686,17,18933,1658,1.0
2020-08-16,20:00,85,Libya,6882651,7738,,145,,894,,6699,,1124,21,75827,11017,5.0
2020-08-16,20:00,96,Finland,5541815,7731,11,333,,7050,,348,,1395,60,467080,84283,4.0
2020-08-16,20:00,98,Luxembourg,627203,7439,,123,,6500,,816,3,11861,196,682119,1087557,4.0
2020-08-16,20:00,94,Albania,2877393,7260,,225,,3746,,3289,16,2523,78,45402,15779,4.0
2020-08-16,20:00,92,Greece,10416427,6858,,226,,3804,,2828,23,658,22,715503,68690,4.0
