Continent_id,Continent,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",scrap_date,scrap_time
6,Oceania,"29,346",56,793,9,"24,876",138,"3,677",41,07.09.20,22:00
7,World,"27,428,817","146,790","895,254","2,541","19,482,243","126,151","7,051,320","60,206",07.09.20,22:00
1,North America,"7,717,182","16,565","281,504",455,"4,617,403","22,679","2,818,275","18,454",08.09.20,22:00
3,Asia,"7,968,893","111,251","155,348","1,588","6,441,579","92,396","1,371,966","19,234",08.09.20,22:00
2,South America,"6,753,662","4,619","219,296",209,"5,405,970","12,876","1,128,396","15,038",08.09.20,22:00
4,Europe,"3,866,970","35,643","210,728",451,"2,180,684","12,571","1,475,558","6,137",08.09.20,22:00
5,Africa,"1,317,082","4,899","31,659",84,"1,052,459","2,930","232,964","1,464",08.09.20,22:00
6,Oceania,"29,489",64,801,8,"25,168",124,"3,520",38,08.09.20,22:00
7,World,"27,653,999","173,041","899,351","2,795","19,723,914","143,576","7,030,734","60,369",08.09.20,22:00
1,North America,"7,760,913","22,608","283,233","1,350","4,668,386","26,897","2,809,294","18,538",09.09.20,22:01
3,Asia,"8,094,445","118,423","157,119","1,668","6,533,286","87,334","1,404,040","19,195",09.09.20,22:01
2,South America,"6,813,630","17,946","221,169",791,"5,488,247","19,673","1,104,214","15,039",09.09.20,22:01
4,Europe,"3,906,975","38,794","211,136",388,"2,196,275","11,735","1,499,564","6,182",09.09.20,22:01
5,Africa,"1,325,272","5,374","31,878",77,"1,059,669","4,357","233,725","1,469",09.09.20,22:01
6,Oceania,"29,587",98,812,11,"25,311",143,"3,464",35,09.09.20,22:01
7,World,"27,931,543","203,243","905,362","4,285","19,971,825","150,139","7,054,356","60,462",09.09.20,22:01
1,North America,"7,803,202","17,914","285,068","1,192","4,716,815","17,529","2,801,319","18,549",10.09.20,22:01
3,Asia,"8,226,145","125,660","159,043","1,827","6,631,227","90,907","1,435,875","19,244",10.09.20,22:01
2,South America,"6,876,844","14,987","222,709",436,"5,575,863","11,527","1,078,272","15,028",10.09.20,22:01
4,Europe,"3,951,909","42,987","211,550",404,"2,209,147","11,007","1,531,212","6,357",10.09.20,22:01
5,Africa,"1,332,897","4,634","32,047",85,"1,067,614","3,961","233,236","1,500",10.09.20,22:01
6,Oceania,"29,665",56,819,7,"25,493",182,"3,353",31,10.09.20,22:01
7,World,"28,221,383","206,238","911,251","3,951","20,226,810","135,113","7,083,322","60,713",10.09.20,22:01
1,North America,"7,862,246","28,512","286,748","1,070","4,753,841","11,867","2,821,657","18,440",11.09.20,22:00
3,Asia,"8,354,612","126,316","160,755","1,688","6,736,865","101,638","1,456,992","19,312",11.09.20,22:00
2,South America,"6,949,277","14,444","224,465",493,"5,659,694","14,036","1,065,118","15,152",11.09.20,22:00
4,Europe,"4,011,965","39,875","211,960",399,"2,224,125","13,327","1,575,880","6,406",11.09.20,22:00
5,Africa,"1,339,630","3,223","32,231",53,"1,074,467","1,689","232,932","1,485",11.09.20,22:00
6,Oceania,"29,780",53,828,9,"25,729",188,"3,223",26,11.09.20,22:00
7,World,"28,548,231","212,423","917,002","3,712","20,475,372","142,745","7,155,857","60,825",11.09.20,22:00
1,North America,"7,921,370","29,161","288,308",903,"4,805,880","17,134","2,827,182","18,285",12.09.20,22:22
3,Asia,"8,479,925","123,765","162,516","1,753","6,836,482","98,401","1,480,927","19,313",12.09.20,22:22
2,South America,"7,027,729","17,069","226,262",556,"5,728,348","13,262","1,073,119","15,373",12.09.20,22:22
4,Europe,"4,048,737","35,592","212,286",318,"2,238,259","13,920","1,598,192","6,427",12.09.20,22:22
5,Africa,"1,349,942","4,743","32,479",69,"1,084,191","3,964","233,272","1,486",12.09.20,22:22
6,Oceania,"29,921",44,836,6,"25,916",121,"3,169",23,12.09.20,22:22
7,World,"28,858,345","210,374","922,702","3,605","20,719,727","146,802","7,215,916","60,911",12.09.20,22:22
1,North America,"7,971,931","28,262","289,344",615,"4,847,802","17,165","2,834,785","18,333",13.09.20,22:01
3,Asia,"8,592,407","110,879","164,149","1,617","6,945,239","107,610","1,483,019","19,373",13.09.20,22:01
2,South America,"7,079,301","6,218","227,398",279,"5,782,473","12,705","1,069,430","15,239",13.09.20,22:01
4,Europe,"4,078,763","28,965","212,537",244,"2,245,054","6,245","1,621,172","6,429",13.09.20,22:01
5,Africa,"1,356,957","4,264","32,625",69,"1,100,859","4,080","223,473","1,503",13.09.20,22:01
6,Oceania,"29,967",46,843,7,"26,062",146,"3,062",25,13.09.20,22:01
7,World,"29,110,047","178,634","926,911","2,831","20,948,140","147,951","7,234,996","60,906",13.09.20,22:01
