,scrap_date,scrap_time,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot_Cases_1M_pop,Deaths/1M pop,TotalTests,Tests_1M_pop,Continent_id
131,2020-08-18,20:00,135,Iceland,341532.0,2027,13.0,10.0,,1895.0,7.0,122.0,1.0,5935.0,29.0,183283.0,536650.0,4.0
132,2020-08-18,20:00,136,Sierra Leone,7997054.0,1956,,69.0,,1506.0,,381.0,,245.0,9.0,,,5.0
133,2020-08-18,20:00,133,Angola,32987172.0,1935,,88.0,,632.0,,1215.0,24.0,59.0,3.0,64747.0,1963.0,5.0
134,2020-08-18,20:00,137,Yemen,29906685.0,1882,,535.0,,1045.0,,302.0,,63.0,18.0,120.0,4.0,3.0
135,2020-08-18,20:00,132,Syria,17552414.0,1764,,68.0,,425.0,,1271.0,,100.0,4.0,,,3.0
136,2020-08-18,20:00,139,New Zealand,5002100.0,1643,12.0,22.0,,1531.0,,90.0,6.0,328.0,4.0,616377.0,123224.0,6.0
137,2020-08-18,20:00,130,Uganda,45911477.0,1603,43.0,15.0,,1165.0,,423.0,,35.0,0.3,329542.0,7178.0,5.0
138,2020-08-18,20:00,143,Uruguay,3475317.0,1457,,40.0,,1205.0,,212.0,3.0,419.0,12.0,147594.0,42469.0,2.0
139,2020-08-18,20:00,141,Jordan,10216180.0,1438,40.0,11.0,,1243.0,2.0,184.0,3.0,141.0,1.0,705920.0,69098.0,3.0
140,2020-08-18,20:00,140,Malta,441698.0,1423,48.0,9.0,,766.0,7.0,648.0,,3222.0,20.0,161057.0,364631.0,4.0
141,2020-08-18,20:00,144,Cyprus,1208502.0,1351,,20.0,,870.0,,461.0,5.0,1118.0,17.0,239630.0,198287.0,3.0
142,2020-08-18,20:00,146,Georgia,3988139.0,1351,10.0,17.0,,1092.0,,242.0,,339.0,4.0,301183.0,75520.0,3.0
143,2020-08-18,20:00,138,Bahamas,393729.0,1329,,19.0,,191.0,,1119.0,1.0,3375.0,48.0,7690.0,19531.0,1.0
144,2020-08-18,20:00,147,Latvia,1883314.0,1323,,33.0,1.0,1093.0,15.0,197.0,,702.0,18.0,228758.0,121466.0,4.0
145,2020-08-18,20:00,148,Botswana,2357505.0,1308,,3.0,,136.0,,1169.0,1.0,555.0,1.0,87280.0,37022.0,5.0
146,2020-08-18,20:00,149,Burkina Faso,20972143.0,1280,,55.0,,1018.0,,207.0,,61.0,3.0,,,5.0
147,2020-08-18,20:00,150,Liberia,5072200.0,1277,,82.0,,803.0,,392.0,,252.0,16.0,,,5.0
148,2020-08-18,20:00,152,Niger,24307929.0,1167,,69.0,,1078.0,,20.0,,48.0,3.0,9052.0,372.0,5.0
149,2020-08-18,20:00,151,Togo,8302429.0,1154,,27.0,,858.0,,269.0,2.0,139.0,3.0,53475.0,6441.0,5.0
150,2020-08-18,20:00,145,Jamaica,2962865.0,1129,16.0,14.0,,764.0,,351.0,1.0,381.0,5.0,46924.0,15837.0,1.0
151,2020-08-18,20:00,142,Aruba,106826.0,1121,,4.0,,212.0,,905.0,,10494.0,37.0,16261.0,152219.0,1.0
152,2020-08-18,20:00,154,Andorra,77281.0,1005,,53.0,,869.0,,83.0,1.0,13004.0,686.0,3750.0,48524.0,4.0
153,2020-08-18,20:00,155,Vietnam,97451765.0,989,6.0,26.0,2.0,526.0,59.0,437.0,,10.0,0.3,723596.0,7425.0,3.0
154,2020-08-18,20:00,157,Chad,16482189.0,959,,76.0,,865.0,,18.0,,58.0,5.0,,,5.0
155,2020-08-18,20:00,156,Lesotho,2144452.0,946,,30.0,,271.0,,645.0,,441.0,14.0,11097.0,5175.0,5.0
156,2020-08-18,20:00,160,Sao Tome and Principe,219666.0,885,,15.0,,821.0,,49.0,,4029.0,68.0,3279.0,14927.0,5.0
157,2020-08-18,20:00,153,Réunion,896143.0,880,,5.0,,657.0,,218.0,4.0,982.0,6.0,35419.0,39524.0,5.0
158,2020-08-18,20:00,162,Diamond Princess,,712,,13.0,,651.0,,48.0,4.0,,,,,
159,2020-08-18,20:00,159,Guyana,787050.0,709,,23.0,,349.0,,337.0,3.0,901.0,29.0,6046.0,7682.0,2.0
